Title,Location,Price,Area
                        Apartment Utrechtsestraat                            ,            1017 VP Amsterdam (Grachtengordel-Zuid)        ,"                €1,550 per month            ",64 m²
                        Apartment Kinkerstraat                            ,            1053 EN Amsterdam (Kinkerbuurt)        ,"                €1,750 per month            ",45 m²
                        Apartment Henri Jonasplein 6                            ,            6462 CR Kerkrade (Bleijerheide)        ,                €625 per month            ,65 m²
                        Apartment Valeriusstraat 110 huis                            ,            1075 GC Amsterdam (Willemspark)        ,"                €6,500 per month            ",225 m²
                        Apartment Wageweg 75 A                            ,            1811 MK Alkmaar (Binnenstad-Oost)        ,"                €1,350 per month            ",100 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Hagerpad                            ,            5509 LT Veldhoven (De Polders)        ,"                €1,700 per month            ",95 m²
                        Apartment Tweede Oosterparkstraat 184 H                            ,            1092 BT Amsterdam (Oosterparkbuurt)        ,"                €2,100 per month            ",84 m²
                        Apartment Europalaan 215                            ,            5042 ZE Tilburg (Jagersbuurt West)        ,"                €1,150 per month            ",71 m²
                        House Jules Massenetstraat 102                            ,            2551 XE Den Haag (Nieuw Waldeck)        ,"                €1,025 per month            ",84 m²
                        Apartment Sumatrakade                            ,            1019 RM Amsterdam (Oostelijk Havengebied)        ,"                €2,100 per month            ",94 m²
                        Apartment Eerste Atjehstraat                            ,            1094 KA Amsterdam (Indische Buurt West)        ,"                €1,250 per month            ",30 m²
                        Apartment Nieuwendijk                            ,            1012 MD Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,400 per month            ",40 m²
                        Apartment Burgemeester Prinsensingel                            ,            4701 HH Roosendaal (Stationsbuurt)        ,                €850 per month            ,78 m²
                        Apartment Omval                            ,            1096 AA Amsterdam (Omval/Overamstel)        ,"                €2,250 per month            ",107 m²
                        Apartment St Plechelmuspad                            ,            5645 EH Eindhoven (Burghplan)        ,"                €1,350 per month            ",50 m²
                        Studio Oudedijk                            ,            3061 AB Rotterdam (Kralingen West)        ,"                €1,450 per month            ",28 m²
                        Apartment Jan Zijvertszstraat 2 HS                            ,            1067 XH Amsterdam (Geuzenveld)        ,"                €1,550 per month            ",59 m²
                        Apartment Brouwersgracht 5 F                            ,            1015 GA Amsterdam (Grachtengordel-West)        ,"                €1,900 per month            ",70 m²
                        Apartment J.F. Kennedylaan                            ,            4811 ET Breda (Valkenberg)        ,"                €1,500 per month            ",105 m²
                        Apartment Pieter Nieuwlandstraat 27                            ,            3514 HB Utrecht (Tuinwijk-Oost)        ,"                €2,200 per month            ",91 m²
                        Apartment 1e Binnenvestgracht                            ,            2312 BA Leiden (d'Oude Morsch)        ,"                €1,500 per month            ",88 m²
                        Apartment Jacob van der Doesstraat                            ,            2518 XL Den Haag (Zeeheldenkwartier)        ,"                €1,200 per month            ",70 m²
                        House Militairenweg 21                            ,            2051 ET Overveen (Overveen)        ,"                €4,250 per month            ",220 m²
                        House Peterskamplaan                            ,            7576 TP Oldenzaal (De Thij)        ,"                €1,095 per month            ",338 m²
                        Apartment Begijnenhofstraat 1 B                            ,            6001 BH Weert (Maaspoort)        ,                €790 per month            ,55 m²
                        Apartment L. Rotgansstraat                            ,            3604 DE Maarssen (Op Buuren)        ,"                €1,375 per month            ",68 m²
                        Apartment van Broeckhuysenstraat                            ,            6511 PE Nijmegen (Stadscentrum)        ,"                €1,000 per month            ",50 m²
                        Apartment Kloosterstraat 27                            ,            9717 LB Groningen (Noorderplantsoenbuurt)        ,"                €1,300 per month            ",90 m²
                        Apartment Pastelstraat                            ,            1339 JE Almere (Regenboogbuurt)        ,"                €1,900 per month            ",75 m²
                        House IJtochtkade                            ,            1161 XH Zwanenburg (Zwanenburg Noordwest)        ,"                €1,975 per month            ",125 m²
                        Apartment Korvelseweg                            ,            5025 JJ Tilburg (Trouwlaan)        ,                €860 per month            ,43 m²
                        Apartment Gevers Deynootweg                            ,            2586 BL Den Haag (Scheveningen Badplaats)        ,"                €1,550 per month            ",48 m²
                        Apartment Burgemeester van Fenemaplein 2 a801                            ,            2042 TA Zandvoort (Boulevard Midden)        ,"                €1,600 per month            ",62 m²
                        Apartment Rembrandtstraat                            ,            3202 ER Spijkenisse (Schiekamp-Noord)        ,"                €1,395 per month            ",70 m²
                        Room Katendrechtse Lagedijk 145                            ,            3081 ZR Rotterdam (Tarwewijk)        ,                €299 per month            ,18 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Studio De Klomp                            ,            7511 DJ Enschede (City)        ,                €695 per month            ,25 m²
                        House Schippersdreef                            ,            6216 TH Maastricht (Belfort)        ,"                €1,250 per month            ",87 m²
                        House Zandweg                            ,            3962 EB Wijk bij Duurstede (De Heul)        ,"                €1,495 per month            ",145 m²
                        Apartment de Swaenenborgh 71                            ,            7941 BR Meppel (Historisch Centrum)        ,                €587 per month            ,60 m²
                        Apartment Beemsterstraat 546 G11                            ,            1024 BV Amsterdam (Waterlandpleinbuurt)        ,                €994 per month            ,63 m²
                        Apartment De Ruijterstraat 38 K                            ,            2518 AS Den Haag (Zeeheldenkwartier)        ,"                €2,750 per month            ",96 m²
                        Apartment Cornelis Jolstraat 5 A                            ,            2584 EL Den Haag (Visserijbuurt)        ,"                €1,450 per month            ",54 m²
                        Apartment Cornelis Jolstraat 5                            ,            2584 EL Den Haag (Visserijbuurt)        ,"                €2,450 per month            ",101 m²
                        Apartment Geulstraat                            ,            9725 CH Groningen (Rivierenbuurt)        ,                €760 per month            ,30 m²
                        Apartment Oranjelaan 16 A                            ,            3062 BR Rotterdam (Kralingen Oost)        ,"                €2,950 per month            ",155 m²
                        Apartment Von Kleistlaan 5 2                            ,            3533 BA Utrecht (Halve Maan-Noord)        ,"                €1,275 per month            ",56 m²
                        House Heuvelse Steeg                            ,            3959 BB Overberg (Overberg)        ,"                €1,095 per month            ",86 m²
                        Apartment Strijpsestraat                            ,            5616 GT Eindhoven (Philipsdorp)        ,"                €1,495 per month            ",120 m²
                        Room Mathenesserdijk                            ,            3027 AK Rotterdam (Spangen)        ,                €539 per month            ,6 m²
                        Apartment Bisschopsmolengang                            ,            6211 HZ Maastricht (Jekerkwartier)        ,"                €1,450 per month            ",69 m²
                        Room Brederodehof                            ,            3341 VC Hendrik-Ido-Ambacht (Oostendam)        ,                €485 per month            ,15 m²
                        Apartment Hoogstraat 21                            ,            2225 BD Katwijk (De Noord)        ,"                €1,175 per month            ",55 m²
                        Apartment Graaf Florislaan 136                            ,            2231 EG Rijnsburg (Centrum)        ,"                €1,325 per month            ",90 m²
                        Apartment Gulikstraat 132                            ,            5913 CX Venlo (Rijnbeek)        ,                €975 per month            ,70 m²
                        Apartment Rapenburg 97 A                            ,            2311 GL Leiden (Academiewijk)        ,"                €1,975 per month            ",108 m²
                        Apartment Emmasingel 8 K                            ,            6001 BC Weert (Weert-Centrum)        ,"                €1,725 per month            ",180 m²
                        Apartment Hoefbladlaan                            ,            2555 EG Den Haag (Bohemen en Meer en Bos)        ,                €895 per month            ,35 m²
                        Apartment Weimarstraat 324 B                            ,            2562 HT Den Haag (Valkenboskwartier)        ,                €950 per month            ,50 m²
                        House Hildebrandstraat                            ,            1321 AN Almere (Literatuurwijk)        ,"                €1,650 per month            ",107 m²
                        Apartment Ierlandstraat                            ,            1363 DK Almere (Europakwartier west)        ,"                €1,400 per month            ",67 m²
                        Apartment Lindelaan                            ,            1405 AK Bussum (Schimmellaan)        ,                €980 per month            ,57 m²
                        Apartment Samuel Mullerplein                            ,            3023 SK Rotterdam (Nieuwe Westen)        ,"                €1,195 per month            ",53 m²
                        Apartment Brederodestraat                            ,            2042 BG Zandvoort (Brederode- Gerkestraat e.o.)        ,"                €1,375 per month            ",90 m²
                        House Landvoogdstraat                            ,            6411 XA Heerlen (Eikenderveld)        ,                €995 per month            ,75 m²
                        Apartment Capucijnengang                            ,            6211 RV Maastricht (Statenkwartier)        ,"                €1,250 per month            ",68 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Weesperzijde 6 4                            ,            1091 EA Amsterdam (Weesperzijde)        ,"                €2,300 per month            ",82 m²
                        Apartment Laan van Poot                            ,            2566 DL Den Haag (Vogelwijk)        ,"                €1,745 per month            ",87 m²
                        Apartment Saksen Weimarplein                            ,            4818 LD Breda (Zandberg)        ,"                €1,800 per month            ",150 m²
                        Apartment Kapellestraat                            ,            3421 CV Oudewater (Kern Oudewater)        ,"                €1,300 per month            ",76 m²
                        Apartment Wilhelminastraat                            ,            4818 SB Breda (Zandberg)        ,"                €1,600 per month            ",67 m²
                        Room Professor Cobbenhagenlaan                            ,            5037 DH Tilburg (Kastelenbuurt Noord)        ,                €500 per month            ,14 m²
                        Apartment Generaal Vetterstraat 2                            ,            1059 BV Amsterdam (Hoofddorppleinbuurt)        ,"                €3,250 per month            ",143 m²
                        House Trompenburg 43 hs                            ,            1181 NM Amstelveen (Vredeveldbuurt)        ,"                €4,000 per month            ",180 m²
                        Room Gasthuisdijk                            ,            8041 AE Zwolle (Bedrijventerrein Voorst-A)        ,                €479 per month            ,36 m²
                        Room Herbenusstraat                            ,            6211 RB Maastricht (Statenkwartier)        ,"                €1,120 per month            ",38 m²
                        Apartment Zuiderparkweg 240                            ,            5216 HD Den Bosch (Zuid)        ,                €978 per month            ,75 m²
                        Apartment Scheepmakerskade                            ,            3011 VX Rotterdam (Stadsdriehoek)        ,"                €1,595 per month            ",75 m²
                        Apartment Van Aerssenstraat                            ,            2582 JS Den Haag (Statenkwartier)        ,"                €1,750 per month            ",100 m²
                        House Trompenburg 43                            ,            1181 NM Amstelveen (Vredeveldbuurt)        ,"                €4,000 per month            ",180 m²
                        House Bartholomeuslaan 3                            ,            2632 DA Nootdorp (De Venen Centrum)        ,"                €1,900 per month            ",78 m²
                        Apartment Maria Austriastraat 113                            ,            1087 EK Amsterdam (IJburg West)        ,"                €1,850 per month            ",85 m²
                        Apartment Bentinckstraat                            ,            1051 GD Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",87 m²
                        Studio Wierdensestraat                            ,            7607 GG Almelo (Binnenstad Noord)        ,                €720 per month            ,30 m²
                        Studio Wierdensestraat                            ,            7607 GG Almelo (Binnenstad Noord)        ,                €680 per month            ,25 m²
                        Apartment Eerste Nassaustraat                            ,            1052 BH Amsterdam (Staatsliedenbuurt)        ,"                €2,600 per month            ",100 m²
                        Apartment Gillis van Ledenberchstraat 46 H                            ,            1052 VJ Amsterdam (Frederik Hendrikbuurt)        ,"                €1,950 per month            ",57 m²
                        Apartment Jagerstraat 2                            ,            2514 BZ Den Haag (Voorhout)        ,"                €2,495 per month            ",140 m²
                        Apartment Planetenlaan                            ,            9742 HJ Groningen (Paddepoel-Noord)        ,"                €1,595 per month            ",101 m²
                        Apartment Vlaskade                            ,            3087 EK Rotterdam (Oud Charlois)        ,"                €1,495 per month            ",80 m²
                        Apartment Weg tot de Wetenschap 15 C                            ,            3584 AC Utrecht (Rijnsweerd)        ,"                €1,650 per month            ",68 m²
                        Apartment Aggemastate                            ,            8926 PH Leeuwarden (Camminghaburen-Noord)        ,                Price on request            ,45 m²
                        Apartment Parnassiaveld 169                            ,            1115 EP Duivendrecht (Duivendrecht)        ,"                €1,700 per month            ",80 m²
                        Apartment Burgemeester Norbruislaan                            ,            3555 EM Utrecht (Zuilen-Noord)        ,"                €1,325 per month            ",64 m²
                        Apartment Prins Hendrikstraat                            ,            2802 JN Gouda (De Korte Akkeren Oud)        ,"                €1,350 per month            ",70 m²
                        Apartment Rosa Spierlaan 216                            ,            1187 PG Amstelveen (Betsy Perkbuurt)        ,"                €1,700 per month            ",75 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Apartment Kampweg 31 A                            ,            6971 XA Brummen (Brummense Enk West)        ,                €875 per month            ,70 m²
                        House Groenestraat                            ,            8261 VE Kampen (Binnenstad Kampen)        ,"                €1,175 per month            ",85 m²
                        Studio Hoofdstraat                            ,            2171 BC Sassenheim (Centrum)        ,                €700 per month            ,40 m²
                        Apartment Wijdesteeg                            ,            1012 RN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,175 per month            ",65 m²
                        Apartment Hoog Gagel                            ,            5611 BG Eindhoven (Philipsdorp)        ,"                €1,695 per month            ",95 m²
                        Apartment Nieuwe Binnenweg 444 A-02A                            ,            3023 EX Rotterdam (Nieuwe Westen)        ,"                €1,100 per month            ",62 m²
                        Apartment West-Kruiskade                            ,            3014 AP Rotterdam (Cool)        ,"                €1,350 per month            ",50 m²
                        Apartment Westerbinnensingel                            ,            9718 BR Groningen (Binnenstad-West)        ,"                €1,095 per month            ",60 m²
                        Apartment Raamplein 2                            ,            1016 XK Amsterdam (Jordaan)        ,"                €2,500 per month            ",80 m²
                        Apartment Vondelstraat 11 C                            ,            1054 GC Amsterdam (Vondelbuurt)        ,"                €2,850 per month            ",90 m²
                        House Noordweg                            ,            8262 BW Kampen (Brunnepe)        ,                €900 per month            ,90 m²
                        Apartment Blokmakersstraat 42 C                            ,            3025 NH Rotterdam (Bospolder)        ,"                €1,650 per month            ",67 m²
                        Apartment Rozengaardseweg                            ,            7001 DP Doetinchem (De Pas-Noord)        ,"                €1,075 per month            ",88 m²
                        Apartment Céramiquelaan 353                            ,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,000 per month            ",144 m²
                        House Dorpstraat 19 *                            ,            6255 AM Noorbeek (Noorbeek)        ,"                €1,695 per month            ",163 m²
                        Apartment Ruysdaelkade 259 A                            ,            1072 AZ Amsterdam (Nieuwe Pijp)        ,"                €2,000 per month            ",62 m²
                        Apartment Maliebaan 97 D                            ,            3581 CH Utrecht (Buiten Wittevrouwen)        ,"                €1,850 per month            ",71 m²
                        House Bekkerstraat 154 C                            ,            3572 SM Utrecht (Wittevrouwen)        ,"                €2,500 per month            ",144 m²
                        Studio Molslaan 81 A                            ,            2611 RK Delft (In de Veste)        ,"                €1,095 per month            ",41 m²
                        House Kesselskade                            ,            6211 EN Maastricht (Binnenstad)        ,"                €1,050 per month            ",43 m²
                        House Leliestraat                            ,            6211 EA Maastricht (Binnenstad)        ,                €940 per month            ,27 m²
                        Room Ruttensingel                            ,            6214 SV Maastricht (Mariaberg)        ,                €390 per month            ,17 m²
                        House Dadelstraat                            ,            3572 TE Utrecht (Wittevrouwen)        ,"                €1,795 per month            ",71 m²
                        Apartment Noordereinde                            ,            1243 JX 's-Graveland ('s-Graveland)        ,"                €1,500 per month            ",105 m²
                        House Noordereinde                            ,            1243 JX 's-Graveland ('s-Graveland)        ,"                €1,995 per month            ",145 m²
                        Apartment De Bus                            ,            5581 GP Waalre (Waalre)        ,"                €1,850 per month            ",82 m²
                        House Moerbeienstraat                            ,            1033 KZ Amsterdam (Tuindorp Oostzaan)        ,                €995 per month            ,70 m²
                        Apartment Jan Pieter Heijestraat 81 A                            ,            1053 GM Amsterdam (Van Lennepbuurt)        ,"                €1,950 per month            ",62 m²
                        House Zoete Kroon                            ,            9603 HE Hoogezand (De Vosholen-West)        ,"                €1,500 per month            ",124 m²
                        Apartment Kanseliersplein                            ,            5223 LW Den Bosch (Paleiskwartier)        ,"                €1,200 per month            ",49 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        Apartment Narva-eiland                            ,            1014 ZJ Amsterdam (Houthavens)        ,"                €2,250 per month            ",69 m²
                        Apartment De Carpentierstraat 67                            ,            2595 HD Den Haag (Bezuidenhout-Midden)        ,"                €1,160 per month            ",74 m²
                        Apartment Oppenheimstraat 5                            ,            2313 JC Leiden (Professorenwijk-Oost)        ,"                €1,850 per month            ",126 m²
                        Apartment Leliegracht 4 3                            ,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",80 m²
                        Apartment Panamalaan 120                            ,            1019 AZ Amsterdam (Oostelijk Havengebied)        ,"                €1,950 per month            ",65 m²
                        Apartment Kraneweg                            ,            9718 JC Groningen (Schildersbuurt)        ,"                €1,495 per month            ",60 m²
                        Apartment Otterstraat                            ,            3513 CL Utrecht (Pijlsweerd-Zuid)        ,"                €1,500 per month            ",50 m²
                        House Groenendries                            ,            4635 SB Huijbergen (Verspreide huizen ten zuiden van Huijbergen)        ,"                €1,100 per month            ",98 m²
                        House Buntlaan 44                            ,            3951 VN Maarn (Maarn-Dorp)        ,"                €1,950 per month            ",141 m²
                        Apartment Prins Mauritslaan 74 g                            ,            6191 EH Beek (Beek)        ,"                €1,225 per month            ",90 m²
                        Apartment Vossegatselaan                            ,            3583 RS Utrecht (Schildersbuurt)        ,"                €1,375 per month            ",45 m²
                        Apartment Plaats 24 A                            ,            2513 AE Den Haag (Voorhout)        ,"                €3,500 per month            ",185 m²
                        House De Ravenberg 32                            ,            6573 DZ Beek (Beek-West)        ,"                €1,750 per month            ",114 m²
                        Apartment Kruisvaardersstraat                            ,            5021 BE Tilburg (Fatima Oost)        ,"                €1,350 per month            ",99 m²
                        Apartment Rochussenstraat                            ,            3015 EC Rotterdam (Oude Westen)        ,"                €2,450 per month            ",130 m²
                        House Netelstraat 5                            ,            6413 SN Heerlen (Heerlerheide Kom)        ,"                €1,400 per month            ",152 m²
                        House Oude Huys                            ,            5707 ZA Helmond (West)        ,"                €1,750 per month            ",105 m²
                        Apartment Beeldbuisring                            ,            5651 HA Eindhoven (Zwaanstraat)        ,"                €1,495 per month            ",70 m²
                        House Molenstraat                            ,            2961 AL Kinderdijk (Kinderdijk-Dorp)        ,"                €1,900 per month            ",209 m²
                        Apartment Korte Nieuwstraat                            ,            3311 XJ Dordrecht (Centrum)        ,"                €1,450 per month            ",70 m²
                        Apartment Heilige Geeststraat                            ,            6041 GB Roermond (Binnenstad)        ,                €667 per month            ,129 m²
                        Apartment Kerkstraat 29 D                            ,            9401 GV Assen (Brinkkwartier)        ,                €845 per month            ,48 m²
                        Apartment Ploegveld                            ,            5261 GD Vught (Centrum)        ,                €925 per month            ,52 m²
                        House Eurokade                            ,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,"                €3,000 per month            ",157 m²
                        House Vechtdijk 384                            ,"            3563 ME Utrecht (Vechtzoom-noord, Klopvaart)        ","                €1,700 per month            ",81 m²
                        Apartment Duvenvoordestraat                            ,            2013 AA Haarlem (Garenkokerskwartier)        ,"                €1,065 per month            ",28 m²
                        Apartment Gevers Deynootweg                            ,            2586 BL Den Haag (Scheveningen Badplaats)        ,                €995 per month            ,30 m²
                        Apartment Walenburgerweg 41 C                            ,            3039 AC Rotterdam (Provenierswijk)        ,"                €1,595 per month            ",88 m²
                        Apartment Bloemstraat 48 D                            ,            1016 LD Amsterdam (Jordaan)        ,"                €1,675 per month            ",36 m²
                        House Van Weede van Dijkveldstraat 76                            ,            2582 KX Den Haag (Statenkwartier)        ,"                €2,950 per month            ",170 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Apartment Thomsonlaan                            ,            2565 JJ Den Haag (Bloemenbuurt-Oost)        ,"                €2,150 per month            ",123 m²
                        Apartment Dirk Hoogenraadstraat                            ,            2586 TE Den Haag (Scheveningen Badplaats)        ,"                €2,500 per month            ",109 m²
                        Apartment Eerste Helmersstraat                            ,            1054 DW Amsterdam (Helmersbuurt)        ,"                €2,950 per month            ",70 m²
                        Apartment Nassaulaan                            ,            2628 GG Delft (Wippolder-Noord)        ,"                €1,500 per month            ",88 m²
                        Apartment Berthold Brechtstraat 833                            ,"            1102 RV Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,850 per month            ",75 m²
                        Room Reinevaarstraat 7                            ,            5044 HD Tilburg (Kruidenbuurt Zuid)        ,                €650 per month            ,25 m²
